
('Hell', 'NNP')
('hole', 'NN')
('stayed', 'VBD')
('this', 'DT')
('hotel', 'NN')
('the', 'DT')
('week', 'NN')
('starting', 'VBG')
('the', 'DT')
('22nd', 'CD')
('Jan', 'NNP')
('2007', 'CD')
('and', 'CC')
('was', 'VBD')
('truly', 'RB')
('horrendous', 'JJ')
('Check', 'NN')
('was', 'VBD')
('joke', 'NN')
('were', 'VBD')
('waiting', 'VBG')
('ages', 'NNS')
('for', 'IN')
('our', 'PRP$')
('room', 'NN')
('Our', 'PRP$')
('room', 'NN')
('was', 'VBD')
('absolutely', 'RB')
('appalling', 'VBG')
('had', 'VBD')
('holes', 'NNS')
('our', 'PRP$')
('wall', 'NN')
('plug', 'JJ')
('sockets', 'NNS')
('came', 'VBD')
('away', 'RB')
('from', 'IN')
('the', 'DT')
('wall', 'NN')
('when', 'WRB')
('they', 'PRP')
('were', 'VBD')
('used', 'VBN')
('holes', 'NNS')
('and', 'CC')
('cigarette', 'NN')
('burns', 'NNS')
('the', 'DT')
('bedding', 'NN')
('the', 'DT')
('fuse', 'NN')
('box', 'NN')
('had', 'VBD')
('cover', 'NN')
('not', 'RB')
('exactly', 'RB')
('ideal', 'VB')
('you', 'PRP')
('have', 'VBP')
('kids', 'NNS')
('boyfriend', 'NN')
('had', 'VBD')
('open', 'JJ')
('the', 'DT')
('wardrobe', 'NN')
('for', 'IN')
('everytime', 'VBP')
('wanted', 'VBD')
('something', 'NN')
('out', 'IN')
('came', 'VBD')
('off', 'RP')
('its', 'PRP$')
('runners', 'NNS')
('and', 'CC')
('would', 'MD')
('get', 'VB')
('jammed', 'JJ')
('had', 'VBD')
('holes', 'NNS')
('our', 'PRP$')
('roof', 'NN')
('were', 'VBD')
('night', 'NN')
('developed', 'VBD')
('skylight', 'NN')
('the', 'DT')
('bath', 'NN')
('was', 'VBD')
('full', 'JJ')
('chips', 'NNS')
('and', 'CC')
('marks', 'NNS')
('with', 'IN')
('limescale', 'NN')
('and', 'CC')
('dirt', 'NN')
('covering', 'VBG')
('the', 'DT')
('plug', 'NN')
('hole', 'NN')
('and', 'CC')
('shower', 'JJR')
('head', 'NN')
('the', 'DT')
('toilet', 'NN')
('blatantly', 'RB')
('hadnt', 'VBD')
('been', 'VBN')
('cleaned', 'VBN')
('for', 'IN')
('long', 'JJ')
('time', 'NN')
('and', 'CC')
('the', 'DT')
('only', 'JJ')
('way', 'NN')
('open', 'VB')
('the', 'DT')
('plug', 'NN')
('the', 'DT')
('sink', 'NN')
('was', 'VBD')
('using', 'VBG')
('scissors', 'NNS')
('not', 'RB')
('mention', 'VB')
('the', 'DT')
('general', 'JJ')
('state', 'NN')
('the', 'DT')
('hotel', 'NN')
('wires', 'VBZ')
('dangling', 'VBG')
('corridors', 'NNS')
('smashed', 'VBD')
('roof', 'NN')
('tiles', 'NNS')
('and', 'CC')
('cracks', 'NNS')
('the', 'DT')
('floor', 'NN')
('The', 'DT')
('worst', 'JJS')
('bit', 'NN')
('however', 'RB')
('had', 'VBD')
('the', 'DT')
('buffet', 'NN')
('restaurant', 'NN')
('were', 'VBD')
('birds', 'NNS')
('and', 'CC')
('flies', 'NNS')
('freely', 'RB')
('roamed', 'VBD')
('all', 'DT')
('over', 'IN')
('the', 'DT')
('food', 'NN')
('this', 'DT')
('put', 'VBD')
('off', 'RP')
('much', 'JJ')
('that', 'IN')
('booked', 'VBD')
('into', 'IN')
('carte', 'NN')
('everynight', 'VBD')
('refused', 'VBD')
('eat', 'VB')
('the', 'DT')
('contaminated', 'VBN')
('food', 'NN')
('However', 'RB')
('was', 'VBD')
('the', 'DT')
('carte', 'NN')
('where', 'WRB')
('dined', 'VBD')
('with', 'IN')
('another', 'DT')
('couple', 'NN')
('who', 'WP')
('had', 'VBD')
('met', 'VBN')
