
('Absolutely', 'RB')
('beautiful', 'JJ')
('Stayed', 'VBN')
('the', 'DT')
('resort', 'NN')
('from', 'IN')
('Jan', 'NNP')
('29-Feb.5', 'CD')
('2006', 'CD')
('went', 'VBD')
('the', 'DT')
('resort', 'NN')
('for', 'IN')
('our', 'PRP$')
('honeymoon', 'NN')
('and', 'CC')
('reading', 'VBG')
('some', 'DT')
('the', 'DT')
('reviews', 'NNS')
('made', 'VBD')
('sceptical', 'JJ')
('where', 'WRB')
('were', 'VBD')
('going', 'VBG')
('dont', 'VBP')
('know', 'VB')
('what', 'WP')
('people', 'NNS')
('were', 'VBD')
('complaining', 'VBG')
('about', 'RB')
('because', 'IN')
('had', 'VBD')
('absolutely', 'RB')
('problems', 'NNS')
('with', 'IN')
('ANYTHING', 'NNP')
('there', 'RB')
('went', 'VBD')
('the', 'DT')
('steak', 'NN')
('house', 'NN')
('Cava', 'NNP')
('and', 'CC')
('was', 'VBD')
('great', 'JJ')
('The', 'DT')
('presentation', 'NN')
('was', 'VBD')
('awesome', 'JJ')
('and', 'CC')
('you', 'PRP')
('get', 'VBP')
('large', 'JJ')
('portion', 'NN')
('meals', 'NNS')
('there', 'RB')
('Only', 'RB')
('would', 'MD')
('recommend', 'VB')
('eating', 'VBG')
('INSIDE', 'IN')
('the', 'DT')
('restaurant', 'NN')
('instead', 'RB')
('eating', 'VBG')
('outside', 'IN')
('got', 'VBD')
('bitten', 'VBN')
('some', 'DT')
('flies/bugs', 'NNS')
('out', 'IN')
('there', 'RB')
('about', 'IN')
('bites', 'NNS')
('legs', 'NNS')
('which', 'WDT')
('were', 'VBD')
('VERY', 'NNP')
('itchy', 'NN')
('also', 'RB')
('tried', 'VBD')
('the', 'DT')
('Mexican', 'NNP')
('and', 'CC')
('Italian', 'JJ')
('restaurants', 'NNS')
('husband', 'NN')
('and', 'CC')
('both', 'DT')
('didnt', 'VBP')
('much', 'JJ')
('care', 'NN')
('for', 'IN')
('the', 'DT')
('Italian', 'JJ')
('food', 'NN')
('however', 'RB')
('many', 'JJ')
('others', 'NNS')
('seemed', 'VBD')
('enjoy', 'VB')
('Our', 'PRP$')
('favorite', 'NN')
('was', 'VBD')
('the', 'DT')
('Mexican', 'NNP')
('restaurant', 'NN')
('fact', 'NN')
('ended', 'VBD')
('going', 'VBG')
('there', 'RB')
('twice', 'RB')
('during', 'IN')
('our', 'PRP$')
('stay', 'NN')
('The', 'DT')
('buffet', 'NN')
('was', 'VBD')
('quite', 'RB')
('well', 'RB')
('really', 'RB')
('enjoyed', 'VBD')
('the', 'DT')
('omlettes', 'NNS')
('the', 'DT')
('mornings', 'NNS')
('There', 'EX')
('was', 'VBD')
('LARGE', 'JJ')
('variety', 'NN')
('foods', 'NNS')
('choose', 'VB')
('from', 'IN')
('the', 'DT')
('buffet', 'NN')
('and', 'CC')
('they', 'PRP')
('all', 'DT')
('had', 'VBD')
('good', 'JJ')
('flavor.I', 'NNS')
('would', 'MD')
('HIGHLY', 'VB')
('recommend', 'VB')
